Algorithm,Implementation,Thread Count,Elements,Time
TimSort, OpenMP, 2, 256, 0.000298
TimSort, OpenMP, 4, 256, 0.003238
TimSort, OpenMP, 8, 256, 0.012114
TimSort, OpenMP, 16, 256, 0.006600
TimSort, OpenMP, 32, 256, 0.009280
Bitonic Sort, OpenMP, 1, 256, 0.000159
Bitonic Sort, OpenMP, 2, 256, 0.000757
Bitonic Sort, OpenMP, 4, 256, 0.003641
Bitonic Sort, OpenMP, 8, 256, 0.006842
Bitonic Sort, OpenMP, 16, 256, 0.007069
Bitonic Sort, OpenMP, 32, 256, 0.005170
MergeSort, OpenMP, 1, 256, 0.000168
MergeSort, OpenMP, 2, 256, 0.007174
MergeSort, OpenMP, 4, 256, 0.005033
MergeSort, OpenMP, 8, 256, 0.004956
MergeSort, OpenMP, 16, 256, 0.004470
MergeSort, OpenMP, 32, 256, 0.006703
QuickSort, OpenMP, 1, 256, 0.000127
QuickSort, OpenMP, 2, 256, 0.000632
QuickSort, OpenMP, 4, 256, 0.003883
QuickSort, OpenMP, 8, 256, 0.009088
QuickSort, OpenMP, 16, 256, 0.006604
QuickSort, OpenMP, 32, 256, 0.004213
Sample Sort, OpenMP, 1, 256, 0.000027
Sample Sort, OpenMP, 2, 256, 0.000026
Sample Sort, OpenMP, 4, 256, 0.000023
Sample Sort, OpenMP, 8, 256, 0.000024
Sample Sort, OpenMP, 16, 256, 0.000023
Sample Sort, OpenMP, 32, 256, 0.000023
TimSort, OpenMP, 1, 512, 0.000267
TimSort, OpenMP, 2, 512, 0.000410
TimSort, OpenMP, 4, 512, 0.023011
TimSort, OpenMP, 8, 512, 0.031184
TimSort, OpenMP, 16, 512, 0.005801
TimSort, OpenMP, 32, 512, 0.008773
Bitonic Sort, OpenMP, 1, 512, 0.000322
Bitonic Sort, OpenMP, 2, 512, 0.000445
Bitonic Sort, OpenMP, 4, 512, 0.002687
Bitonic Sort, OpenMP, 8, 512, 0.006973
Bitonic Sort, OpenMP, 16, 512, 0.003592
Bitonic Sort, OpenMP, 32, 512, 0.008490
MergeSort, OpenMP, 1, 512, 0.000279
MergeSort, OpenMP, 2, 512, 0.000598
MergeSort, OpenMP, 4, 512, 0.002252
MergeSort, OpenMP, 8, 512, 0.006811
MergeSort, OpenMP, 16, 512, 0.002616
MergeSort, OpenMP, 32, 512, 0.004610
QuickSort, OpenMP, 1, 512, 0.000161
QuickSort, OpenMP, 2, 512, 0.000652
QuickSort, OpenMP, 4, 512, 0.001145
QuickSort, OpenMP, 8, 512, 0.003719
QuickSort, OpenMP, 16, 512, 0.003493
QuickSort, OpenMP, 32, 512, 0.007640
Sample Sort, OpenMP, 1, 512, 0.000042
Sample Sort, OpenMP, 2, 512, 0.000052
Sample Sort, OpenMP, 4, 512, 0.000040
Sample Sort, OpenMP, 8, 512, 0.000041
Sample Sort, OpenMP, 16, 512, 0.000050
Sample Sort, OpenMP, 32, 512, 0.000040
TimSort, OpenMP, 1, 1024, 0.000087
TimSort, OpenMP, 2, 1024, 0.000795
TimSort, OpenMP, 4, 1024, 0.001939
TimSort, OpenMP, 8, 1024, 0.031945
TimSort, OpenMP, 16, 1024, 0.004712
TimSort, OpenMP, 32, 1024, 0.015200
Bitonic Sort, OpenMP, 1, 1024, 0.000713
Bitonic Sort, OpenMP, 2, 1024, 0.001583
Bitonic Sort, OpenMP, 4, 1024, 0.003579
Bitonic Sort, OpenMP, 8, 1024, 0.009413
Bitonic Sort, OpenMP, 16, 1024, 0.005557
Bitonic Sort, OpenMP, 32, 1024, 0.006885
MergeSort, OpenMP, 1, 1024, 0.000450
MergeSort, OpenMP, 2, 1024, 0.001319
MergeSort, OpenMP, 4, 1024, 0.003892
MergeSort, OpenMP, 8, 1024, 0.006613
MergeSort, OpenMP, 16, 1024, 0.003369
MergeSort, OpenMP, 32, 1024, 0.016784
QuickSort, OpenMP, 1, 1024, 0.000395
QuickSort, OpenMP, 2, 1024, 0.000820
QuickSort, OpenMP, 4, 1024, 0.002929
QuickSort, OpenMP, 8, 1024, 0.006522
QuickSort, OpenMP, 16, 1024, 0.004145
QuickSort, OpenMP, 32, 1024, 0.010271
Sample Sort, OpenMP, 1, 1024, 0.000093
Sample Sort, OpenMP, 2, 1024, 0.002050
Sample Sort, OpenMP, 4, 1024, 0.014896
Sample Sort, OpenMP, 8, 1024, 0.030861
Sample Sort, OpenMP, 16, 1024, 0.024588
Sample Sort, OpenMP, 32, 1024, 0.010294
TimSort, OpenMP, 1, 2048, 0.000208
TimSort, OpenMP, 2, 2048, 0.000402
TimSort, OpenMP, 4, 2048, 0.004908
TimSort, OpenMP, 8, 2048, 0.034870
TimSort, OpenMP, 16, 2048, 0.004539
TimSort, OpenMP, 32, 2048, 0.037777
Bitonic Sort, OpenMP, 1, 2048, 0.002214
Bitonic Sort, OpenMP, 2, 2048, 0.002119
Bitonic Sort, OpenMP, 4, 2048, 0.004941
Bitonic Sort, OpenMP, 8, 2048, 0.007818
Bitonic Sort, OpenMP, 16, 2048, 0.004083
Bitonic Sort, OpenMP, 32, 2048, 0.006201
MergeSort, OpenMP, 1, 2048, 0.000913
MergeSort, OpenMP, 2, 2048, 0.000929
MergeSort, OpenMP, 4, 2048, 0.005189
MergeSort, OpenMP, 8, 2048, 0.009730
MergeSort, OpenMP, 16, 2048, 0.007356
MergeSort, OpenMP, 32, 2048, 0.015272
QuickSort, OpenMP, 1, 2048, 0.000739
QuickSort, OpenMP, 2, 2048, 0.001056
QuickSort, OpenMP, 4, 2048, 0.006859
QuickSort, OpenMP, 8, 2048, 0.011325
QuickSort, OpenMP, 16, 2048, 0.012032
QuickSort, OpenMP, 32, 2048, 0.031349
Sample Sort, OpenMP, 1, 2048, 0.000293
Sample Sort, OpenMP, 2, 2048, 0.003771
Sample Sort, OpenMP, 4, 2048, 0.012484
Sample Sort, OpenMP, 8, 2048, 0.011485
Sample Sort, OpenMP, 16, 2048, 0.016392
Sample Sort, OpenMP, 32, 2048, 0.007557
TimSort, OpenMP, 1, 4096, 0.000530
TimSort, OpenMP, 2, 4096, 0.001459
TimSort, OpenMP, 4, 4096, 0.016281
TimSort, OpenMP, 8, 4096, 0.032411
TimSort, OpenMP, 16, 4096, 0.007505
TimSort, OpenMP, 32, 4096, 0.009676
Bitonic Sort, OpenMP, 1, 4096, 0.003264
Bitonic Sort, OpenMP, 2, 4096, 0.006224
Bitonic Sort, OpenMP, 4, 4096, 0.003902
Bitonic Sort, OpenMP, 8, 4096, 0.003686
Bitonic Sort, OpenMP, 16, 4096, 0.005341
Bitonic Sort, OpenMP, 32, 4096, 0.008953
MergeSort, OpenMP, 1, 4096, 0.001768
MergeSort, OpenMP, 2, 4096, 0.003198
MergeSort, OpenMP, 4, 4096, 0.001883
MergeSort, OpenMP, 8, 4096, 0.004070
MergeSort, OpenMP, 16, 4096, 0.004560
MergeSort, OpenMP, 32, 4096, 0.006077
QuickSort, OpenMP, 1, 4096, 0.001343
QuickSort, OpenMP, 2, 4096, 0.002011
QuickSort, OpenMP, 4, 4096, 0.001873
QuickSort, OpenMP, 8, 4096, 0.003682
QuickSort, OpenMP, 16, 4096, 0.004574
QuickSort, OpenMP, 32, 4096, 0.007673
Sample Sort, OpenMP, 1, 4096, 0.000703
Sample Sort, OpenMP, 2, 4096, 0.001259
Sample Sort, OpenMP, 4, 4096, 0.005356
Sample Sort, OpenMP, 8, 4096, 0.007373
Sample Sort, OpenMP, 16, 4096, 0.007555
Sample Sort, OpenMP, 32, 4096, 0.010055
TimSort, OpenMP, 1, 8192, 0.001017
TimSort, OpenMP, 2, 8192, 0.002024
TimSort, OpenMP, 4, 8192, 0.008873
TimSort, OpenMP, 8, 8192, 0.028068
TimSort, OpenMP, 16, 8192, 0.005183
TimSort, OpenMP, 32, 8192, 0.010031
Bitonic Sort, OpenMP, 1, 8192, 0.006401
Bitonic Sort, OpenMP, 2, 8192, 0.007090
Bitonic Sort, OpenMP, 4, 8192, 0.004678
Bitonic Sort, OpenMP, 8, 8192, 0.006408
Bitonic Sort, OpenMP, 16, 8192, 0.006106
Bitonic Sort, OpenMP, 32, 8192, 0.008482
MergeSort, OpenMP, 1, 8192, 0.004053
MergeSort, OpenMP, 2, 8192, 0.003945
MergeSort, OpenMP, 4, 8192, 0.003519
MergeSort, OpenMP, 8, 8192, 0.005985
MergeSort, OpenMP, 16, 8192, 0.011468
MergeSort, OpenMP, 32, 8192, 0.010453
QuickSort, OpenMP, 1, 8192, 0.003231
QuickSort, OpenMP, 2, 8192, 0.003828
QuickSort, OpenMP, 4, 8192, 0.004845
QuickSort, OpenMP, 8, 8192, 0.006055
QuickSort, OpenMP, 16, 8192, 0.011639
QuickSort, OpenMP, 32, 8192, 0.006177
Sample Sort, OpenMP, 1, 8192, 0.001380
Sample Sort, OpenMP, 2, 8192, 0.002024
Sample Sort, OpenMP, 4, 8192, 0.002097
Sample Sort, OpenMP, 8, 8192, 0.011237
Sample Sort, OpenMP, 16, 8192, 0.005349
Sample Sort, OpenMP, 32, 8192, 0.008147
TimSort, OpenMP, 1, 16384, 0.003118
TimSort, OpenMP, 2, 16384, 0.004825
TimSort, OpenMP, 4, 16384, 0.007049
TimSort, OpenMP, 8, 16384, 0.039558
TimSort, OpenMP, 16, 16384, 0.008073
TimSort, OpenMP, 32, 16384, 0.023632
Bitonic Sort, OpenMP, 1, 16384, 0.015439
Bitonic Sort, OpenMP, 2, 16384, 0.010258
Bitonic Sort, OpenMP, 4, 16384, 0.010020
Bitonic Sort, OpenMP, 8, 16384, 0.017085
Bitonic Sort, OpenMP, 16, 16384, 0.011380
Bitonic Sort, OpenMP, 32, 16384, 0.012821
MergeSort, OpenMP, 1, 16384, 0.007752
MergeSort, OpenMP, 2, 16384, 0.006888
MergeSort, OpenMP, 4, 16384, 0.007720
MergeSort, OpenMP, 8, 16384, 0.007674
MergeSort, OpenMP, 16, 16384, 0.008307
MergeSort, OpenMP, 32, 16384, 0.011970
QuickSort, OpenMP, 1, 16384, 0.005465
QuickSort, OpenMP, 2, 16384, 0.004912
QuickSort, OpenMP, 4, 16384, 0.007520
QuickSort, OpenMP, 8, 16384, 0.009494
QuickSort, OpenMP, 16, 16384, 0.011507
QuickSort, OpenMP, 32, 16384, 0.008920
Sample Sort, OpenMP, 1, 16384, 0.002698
Sample Sort, OpenMP, 2, 16384, 0.004727
Sample Sort, OpenMP, 4, 16384, 0.005102
Sample Sort, OpenMP, 8, 16384, 0.007804
Sample Sort, OpenMP, 16, 16384, 0.006531
Sample Sort, OpenMP, 32, 16384, 0.007909
TimSort, OpenMP, 1, 32768, 0.005505
TimSort, OpenMP, 2, 32768, 0.007456
TimSort, OpenMP, 4, 32768, 0.003909
TimSort, OpenMP, 8, 32768, 0.043963
TimSort, OpenMP, 16, 32768, 0.014627
TimSort, OpenMP, 32, 32768, 0.013976
Bitonic Sort, OpenMP, 1, 32768, 0.048151
Bitonic Sort, OpenMP, 2, 32768, 0.025231
Bitonic Sort, OpenMP, 4, 32768, 0.019611
Bitonic Sort, OpenMP, 8, 32768, 0.029996
Bitonic Sort, OpenMP, 16, 32768, 0.051631
Bitonic Sort, OpenMP, 32, 32768, 0.046462
MergeSort, OpenMP, 1, 32768, 0.023676
MergeSort, OpenMP, 2, 32768, 0.013086
MergeSort, OpenMP, 4, 32768, 0.010125
MergeSort, OpenMP, 8, 32768, 0.022526
MergeSort, OpenMP, 16, 32768, 0.012836
MergeSort, OpenMP, 32, 32768, 0.014355
QuickSort, OpenMP, 1, 32768, 0.011804
QuickSort, OpenMP, 2, 32768, 0.014532
QuickSort, OpenMP, 4, 32768, 0.014083
QuickSort, OpenMP, 8, 32768, 0.014539
QuickSort, OpenMP, 16, 32768, 0.011578
QuickSort, OpenMP, 32, 32768, 0.017872
Sample Sort, OpenMP, 1, 32768, 0.006293
Sample Sort, OpenMP, 2, 32768, 0.006470
Sample Sort, OpenMP, 4, 32768, 0.006823
Sample Sort, OpenMP, 8, 32768, 0.012270
Sample Sort, OpenMP, 16, 32768, 0.018687
Sample Sort, OpenMP, 32, 32768, 0.010801
TimSort, OpenMP, 1, 65536, 0.010490
TimSort, OpenMP, 2, 65536, 0.007629
TimSort, OpenMP, 4, 65536, 0.011070
TimSort, OpenMP, 8, 65536, 0.099846
TimSort, OpenMP, 16, 65536, 0.015154
TimSort, OpenMP, 32, 65536, 0.024810
Bitonic Sort, OpenMP, 1, 65536, 0.089554
Bitonic Sort, OpenMP, 2, 65536, 0.044501
Bitonic Sort, OpenMP, 4, 65536, 0.044303
Bitonic Sort, OpenMP, 8, 65536, 0.080070
Bitonic Sort, OpenMP, 16, 65536, 0.088278
Bitonic Sort, OpenMP, 32, 65536, 0.060733
MergeSort, OpenMP, 1, 65536, 0.043193
MergeSort, OpenMP, 2, 65536, 0.025017
MergeSort, OpenMP, 4, 65536, 0.031571
MergeSort, OpenMP, 8, 65536, 0.037937
MergeSort, OpenMP, 16, 65536, 0.026469
MergeSort, OpenMP, 32, 65536, 0.021212
QuickSort, OpenMP, 1, 65536, 0.024750
QuickSort, OpenMP, 2, 65536, 0.030314
QuickSort, OpenMP, 4, 65536, 0.030095
QuickSort, OpenMP, 8, 65536, 0.031496
QuickSort, OpenMP, 16, 65536, 0.022625
QuickSort, OpenMP, 32, 65536, 0.042439
Sample Sort, OpenMP, 1, 65536, 0.014545
Sample Sort, OpenMP, 2, 65536, 0.017488
Sample Sort, OpenMP, 4, 65536, 0.025799
Sample Sort, OpenMP, 8, 65536, 0.022246
Sample Sort, OpenMP, 16, 65536, 0.022887
Sample Sort, OpenMP, 32, 65536, 0.020634
TimSort, OpenMP, 1, 131072, 0.032283
TimSort, OpenMP, 2, 131072, 0.020908
TimSort, OpenMP, 4, 131072, 0.056274
TimSort, OpenMP, 8, 131072, 0.106283
TimSort, OpenMP, 16, 131072, 0.033605
TimSort, OpenMP, 32, 131072, 0.035017
Bitonic Sort, OpenMP, 1, 131072, 0.186014
Bitonic Sort, OpenMP, 2, 131072, 0.116204
Bitonic Sort, OpenMP, 4, 131072, 0.097705
Bitonic Sort, OpenMP, 8, 131072, 0.108657
Bitonic Sort, OpenMP, 16, 131072, 0.109085
Bitonic Sort, OpenMP, 32, 131072, 0.108306
MergeSort, OpenMP, 1, 131072, 0.074195
MergeSort, OpenMP, 2, 131072, 0.046526
MergeSort, OpenMP, 4, 131072, 0.038008
MergeSort, OpenMP, 8, 131072, 0.043233
MergeSort, OpenMP, 16, 131072, 0.048305
MergeSort, OpenMP, 32, 131072, 0.042995
QuickSort, OpenMP, 1, 131072, 0.078151
QuickSort, OpenMP, 2, 131072, 0.068369
QuickSort, OpenMP, 4, 131072, 0.070243
QuickSort, OpenMP, 8, 131072, 0.041140
QuickSort, OpenMP, 16, 131072, 0.051981
QuickSort, OpenMP, 32, 131072, 0.139180
Sample Sort, OpenMP, 1, 131072, 0.039589
Sample Sort, OpenMP, 2, 131072, 0.039580
Sample Sort, OpenMP, 4, 131072, 0.031592
Sample Sort, OpenMP, 8, 131072, 0.026719
Sample Sort, OpenMP, 16, 131072, 0.079077
Sample Sort, OpenMP, 32, 131072, 0.046955
TimSort, OpenMP, 1, 262144, 0.046177
TimSort, OpenMP, 2, 262144, 0.033781
TimSort, OpenMP, 4, 262144, 0.026455
TimSort, OpenMP, 8, 262144, 0.090750
TimSort, OpenMP, 16, 262144, 0.045486
TimSort, OpenMP, 32, 262144, 0.053185
Bitonic Sort, OpenMP, 1, 262144, 0.308192
Bitonic Sort, OpenMP, 2, 262144, 0.196932
Bitonic Sort, OpenMP, 4, 262144, 0.179784
Bitonic Sort, OpenMP, 8, 262144, 0.193494
Bitonic Sort, OpenMP, 16, 262144, 0.183588
Bitonic Sort, OpenMP, 32, 262144, 0.189847
MergeSort, OpenMP, 1, 262144, 0.134832
MergeSort, OpenMP, 2, 262144, 0.078341
MergeSort, OpenMP, 4, 262144, 0.090569
MergeSort, OpenMP, 8, 262144, 0.115618
MergeSort, OpenMP, 16, 262144, 0.109354
MergeSort, OpenMP, 32, 262144, 0.089079
QuickSort, OpenMP, 1, 262144, 0.107031
QuickSort, OpenMP, 2, 262144, 0.072259
QuickSort, OpenMP, 4, 262144, 0.099547
QuickSort, OpenMP, 8, 262144, 0.101106
QuickSort, OpenMP, 16, 262144, 0.096009
QuickSort, OpenMP, 32, 262144, 0.095490
Sample Sort, OpenMP, 1, 262144, 0.062735
Sample Sort, OpenMP, 2, 262144, 0.056388
Sample Sort, OpenMP, 4, 262144, 0.051758
Sample Sort, OpenMP, 8, 262144, 0.055570
Sample Sort, OpenMP, 16, 262144, 0.055111
Sample Sort, OpenMP, 32, 262144, 0.055179
TimSort, OpenMP, 1, 524288, 0.111888
TimSort, OpenMP, 2, 524288, 0.068560
TimSort, OpenMP, 4, 524288, 0.046862
TimSort, OpenMP, 8, 524288, 0.129283
TimSort, OpenMP, 16, 524288, 0.076490
TimSort, OpenMP, 32, 524288, 0.093143
Bitonic Sort, OpenMP, 1, 524288, 0.655608
Bitonic Sort, OpenMP, 2, 524288, 0.379319
Bitonic Sort, OpenMP, 4, 524288, 0.396786
Bitonic Sort, OpenMP, 8, 524288, 0.399336
Bitonic Sort, OpenMP, 16, 524288, 0.462864
Bitonic Sort, OpenMP, 32, 524288, 0.405122
MergeSort, OpenMP, 1, 524288, 0.280347
