Algorithm,Implementation,Thread Count,Elements,Time
Sample Sort, OpenMP, 16, 1048576, 0.243811
Sample Sort, OpenMP, 32, 1048576, 0.242006
TimSort, OpenMP, 1, 1048576, 0.177774
TimSort, OpenMP, 2, 1048576, 0.119183
TimSort, OpenMP, 3, 1048576, 0.083151
TimSort, OpenMP, 4, 1048576, 0.087827
TimSort, OpenMP, 5, 1048576, 0.075316
TimSort, OpenMP, 6, 1048576, 0.075524
TimSort, OpenMP, 7, 1048576, 0.062829
TimSort, OpenMP, 8, 1048576, 0.071437
TimSort, OpenMP, 16, 1048576, 0.079172
TimSort, OpenMP, 32, 1048576, 0.088752
Bitonic Sort, OpenMP, 1, 1048576, 1.168698
Bitonic Sort, OpenMP, 2, 1048576, 0.659365
Bitonic Sort, OpenMP, 3, 1048576, 0.747073
Bitonic Sort, OpenMP, 4, 1048576, 0.600572
Bitonic Sort, OpenMP, 5, 1048576, 0.513275
Bitonic Sort, OpenMP, 6, 1048576, 0.505163
Bitonic Sort, OpenMP, 7, 1048576, 0.447278
Bitonic Sort, OpenMP, 8, 1048576, 0.524477
Bitonic Sort, OpenMP, 16, 1048576, 0.573326
Bitonic Sort, OpenMP, 32, 1048576, 0.517802
MergeSort, OpenMP, 1, 1048576, 0.269474
MergeSort, OpenMP, 2, 1048576, 0.212853
MergeSort, OpenMP, 3, 1048576, 0.177144
MergeSort, OpenMP, 4, 1048576, 0.120817
MergeSort, OpenMP, 5, 1048576, 0.124385
MergeSort, OpenMP, 6, 1048576, 0.144401
MergeSort, OpenMP, 7, 1048576, 0.092847
MergeSort, OpenMP, 8, 1048576, 0.096273
MergeSort, OpenMP, 16, 1048576, 0.091591
MergeSort, OpenMP, 32, 1048576, 0.091752
QuickSort, OpenMP, 1, 1048576, 0.578590
QuickSort, OpenMP, 2, 1048576, 0.512567
QuickSort, OpenMP, 3, 1048576, 0.368124
QuickSort, OpenMP, 4, 1048576, 0.408856
QuickSort, OpenMP, 5, 1048576, 0.396125
QuickSort, OpenMP, 6, 1048576, 0.385099
QuickSort, OpenMP, 7, 1048576, 0.309216
QuickSort, OpenMP, 8, 1048576, 0.359023
QuickSort, OpenMP, 16, 1048576, 0.369767
QuickSort, OpenMP, 32, 1048576, 0.326165
Sample Sort, OpenMP, 1, 1048576, 0.402828
Sample Sort, OpenMP, 2, 1048576, 0.359454
Sample Sort, OpenMP, 3, 1048576, 0.442872
Sample Sort, OpenMP, 4, 1048576, 0.257168
Sample Sort, OpenMP, 5, 1048576, 0.268855
Sample Sort, OpenMP, 6, 1048576, 0.327701
Sample Sort, OpenMP, 7, 1048576, 0.310334
Sample Sort, OpenMP, 8, 1048576, 0.392270
Sample Sort, OpenMP, 16, 1048576, 0.258583
Sample Sort, OpenMP, 32, 1048576, 0.327457
TimSort, OpenMP, 1, 1048576, 0.179797
TimSort, OpenMP, 2, 1048576, 0.125839
TimSort, OpenMP, 3, 1048576, 0.108113
TimSort, OpenMP, 4, 1048576, 0.070829
TimSort, OpenMP, 5, 1048576, 0.083723
TimSort, OpenMP, 6, 1048576, 0.081241
TimSort, OpenMP, 7, 1048576, 0.075468
TimSort, OpenMP, 8, 1048576, 0.074469
TimSort, OpenMP, 16, 1048576, 0.078134
TimSort, OpenMP, 32, 1048576, 0.084393
Bitonic Sort, OpenMP, 1, 1048576, 1.174126
Bitonic Sort, OpenMP, 2, 1048576, 0.670369
Bitonic Sort, OpenMP, 3, 1048576, 0.580819
Bitonic Sort, OpenMP, 4, 1048576, 0.520821
Bitonic Sort, OpenMP, 5, 1048576, 0.492648
Bitonic Sort, OpenMP, 6, 1048576, 0.490472
Bitonic Sort, OpenMP, 7, 1048576, 0.482348
Bitonic Sort, OpenMP, 8, 1048576, 0.419483
Bitonic Sort, OpenMP, 16, 1048576, 0.426427
Bitonic Sort, OpenMP, 32, 1048576, 0.407484
MergeSort, OpenMP, 1, 1048576, 0.232218
MergeSort, OpenMP, 2, 1048576, 0.142533
MergeSort, OpenMP, 3, 1048576, 0.118019
MergeSort, OpenMP, 4, 1048576, 0.112805
MergeSort, OpenMP, 5, 1048576, 0.094999
MergeSort, OpenMP, 6, 1048576, 0.092935
MergeSort, OpenMP, 7, 1048576, 0.085345
MergeSort, OpenMP, 8, 1048576, 0.079628
MergeSort, OpenMP, 16, 1048576, 0.095728
MergeSort, OpenMP, 32, 1048576, 0.090465
QuickSort, OpenMP, 1, 1048576, 0.521070
QuickSort, OpenMP, 2, 1048576, 0.509394
QuickSort, OpenMP, 3, 1048576, 0.468750
QuickSort, OpenMP, 4, 1048576, 0.322602
QuickSort, OpenMP, 5, 1048576, 0.418197
QuickSort, OpenMP, 6, 1048576, 0.394821
QuickSort, OpenMP, 7, 1048576, 0.331271
QuickSort, OpenMP, 8, 1048576, 0.291542
QuickSort, OpenMP, 16, 1048576, 0.479401
QuickSort, OpenMP, 32, 1048576, 0.339925
Sample Sort, OpenMP, 1, 1048576, 0.299974
Sample Sort, OpenMP, 2, 1048576, 0.315600
Sample Sort, OpenMP, 3, 1048576, 0.294345
Sample Sort, OpenMP, 4, 1048576, 0.322998
Sample Sort, OpenMP, 5, 1048576, 0.234566
Sample Sort, OpenMP, 6, 1048576, 0.274822
Sample Sort, OpenMP, 7, 1048576, 0.263444
Sample Sort, OpenMP, 8, 1048576, 0.356819
Sample Sort, OpenMP, 16, 1048576, 0.345222
Sample Sort, OpenMP, 32, 1048576, 0.312845
